ZTTime,A01     ,A03     ,A05     ,A07     ,A09     ,A11     ,B02     ,B04     ,B06     ,B08     ,B10     ,B12     ,C01     ,C03     ,C05     ,C07     ,C09     ,C11     ,D02     ,D04     ,D06     ,D08     ,D10     ,D12     ,E01     ,E03     ,E05     ,E07     ,E09     ,E11     ,F02     ,F04     ,F06     ,F08     ,F10     ,F12     ,G01     ,G03     ,G05     ,G07     ,G09     ,G11     ,H02     ,H04     
12,118764,194761,172327,224676,216469,160583,255066,196676,259824,260516,376006,217343,240110,242268,219790,234060,683508,501156,519743,541126,478583,450846,584061,532524,621605,309538,660225,664887,706328,732902,569296,671569,278864,252323,238020,235915,186131,348278,271514,356583,1064137,823086,1007014,1615021
12.5,121270,205368,178769,234326,223581,164594,270701,200619,272631,263024,385658,228011,257939,248811,242207,244046,736255,547559,559337,543349,470417,460540,630288,567903,699257,312154,690951,659653,744448,742535,585096,730669,279929,249032,247033,243697,198294,338955,272327,356598,1122844,875937,1020381,1568878
13,131553,224334,186974,234554,248386,185120,282612,219463,279913,277625,389887,241561,264423,259786,247557,262256,782333,576895,566266,590221,508143,475630,681534,612793,743427,312321,739952,747627,807897,729327,635932,760722,278735,243188,241151,255044,203309,326349,270807,323285,1095363,862650,997091,1611091
13.5,128918,221393,184224,238195,261139,171613,309774,220405,275672,282156,387818,232024,270914,291171,244358,253212,775228,585020,614956,640952,554107,507694,685931,566799,749433,308337,674647,827882,740188,730478,613883,797337,259710,221370,246372,235223,188600,277732,252581,289545,1203228,945645,1057692,1694055
14,134378,212616,180668,227404,257871,174560,315446,229379,285227,284003,395698,237397,269036,289423,286770,255044,763344,596092,640541,748275,541332,506986,702069,553551,661809,296447,717797,908723,750996,715671,662404,834158,260957,218384,217882,231598,198089,262690,231697,290571,1350127,940357,1145096,1852323
14.5,122683,213490,166561,213323,244692,182856,318122,208354,260318,281016,359008,233194,256244,286846,306011,255119,759914,608315,671363,706366,517642,453174,655745,540982,650146,309630,664788,897059,717111,706579,617538,786480,252232,214600,208734,231325,197626,256085,216689,284102,1340490,1026335,1203602,1653813
15,126647,200285,174879,213916,224341,171149,338279,205581,267288,294349,401821,253835,274136,280255,338020,248804,779245,676536,651868,693214,543037,470204,742939,504809,795774,287576,672194,913736,719275,872886,635338,774420,251190,208369,207898,241721,189565,255940,231986,265692,1488221,1082083,1255125,1662253
15.5,122698,203468,174006,211203,238605,177873,381969,206447,295216,275292,447209,251973,274296,288609,313249,266467,804160,729304,634485,659722,540274,460555,714680,513981,807424,277101,724031,960456,720540,973193,626472,781982,233886,195453,192436,256138,180152,233749,212791,266961,1501022,1206850,1320642,1874101
16,120586,205269,173003,226917,245855,166181,409177,195658,269036,276804,434541,231332,297549,320076,325056,257954,805754,728077,641988,663584,530811,452535,760783,501498,778552,297063,792053,917451,704743,985313,636313,737246,240094,175935,189375,234585,175009,226385,198879,273969,1597260,1266148,1378299,1938673
16.5,115635,197633,168992,217943,268694,182370,377238,197929,255902,283281,467023,219713,293452,286694,332287,251722,778133,733146,626937,618201,494671,420223,812319,476376,771897,273673,716829,867012,745371,961853,619184,733748,206720,165255,177029,230831,163378,227480,202518,289636,1545772,1235296,1356894,1947583
